dataset,data_size,d,sigma,learner,model,epsilon,MSE,MSE_ATE,MSEavg,MSEavg_ATE,num_effective_avg,iBias2,iVar,bias_ATE,iBias2_ATE,iVar_ATE
D,500,6,1.0,SLearner1,DPExplainableBoostingRegressor,2.0,"[2.5928377120420927, 4.612876168933363, 3.263581838324157, 3.0107112263028544, 1.781590584436731]","[2.2400387160184687, 6.080538970923313, 2.0154153470209124, 1.8149835081903827, 1.7045298181457469]","[2.4822667223345403, 3.808801566455693, 2.133698840882523, 2.137325043265603, 1.7456405963307149]","[2.4822667223345403, 3.8088015664556942, 2.133698840882523, 2.1373250432656024, 1.7456405963307149]","[5, 5, 5, 5, 5]","[2.454623974907652, 3.6077829158362755, 1.8512280915221146, 1.91897849750629, 1.7366530993042109]","[0.13821373713444052, 1.005093253097088, 1.4123537468020424, 1.0917327287965644, 0.04493748513252016]","[0.8857052980089924, 1.4529310785589082, 0.6602317725383869, 0.662972243651467, 0.2187412830660295]","[2.2400387160184687, 3.2408672153387896, 2.0154153470209124, 1.8149835081903827, 1.7045298181457469]","[0, 2.8396717555845234, 0, 0, 0]"
D,500,6,1.0,SLearner1,DPExplainableBoostingRegressor,4.0,"[1.9263722544327706, 2.080351119345927, 2.1330970259707636, 2.536653493612441, 1.8632323917389373]","[2.0256532796769773, 2.3456835774318283, 1.699650373705188, 4.419325437157884, 2.166284340480483]","[1.8777850919849928, 1.7798444768986517, 1.829150408283835, 2.288799929883345, 1.8318656822892663]","[1.877785091984993, 1.7798444768986517, 1.829150408283835, 2.288799929883345, 1.8318656822892663]","[5, 5, 5, 5, 5]","[1.8656383013730484, 1.7047178162868328, 1.7531637538621028, 2.226836538951071, 1.8240240049268486]","[0.06073395305972229, 0.3756333030590944, 0.3799332721086607, 0.30981695466136994, 0.03920838681208877]","[0.4242549287535152, 0.28644655607165004, 0.3624328363579833, 0.7687698501307155, 0.36615957569879776]","[1.8408180450619969, 1.6383847017653574, 1.699650373705188, 1.7561685530647102, 1.7482610177414621]","[0.18483523461498036, 0.7072988756664709, 0, 2.6631568840931736, 0.41802332273902093]"
D,500,6,1.0,SLearner1,DPExplainableBoostingRegressor,8.0,"[1.911607311102959, 2.182559713812263, 2.023457090109566, 1.9926888235426847, 2.281876329181889]","[1.924045636081094, 2.0762036984452146, 2.2720319479742996, 2.1494099729846607, 2.6697155817398115]","[1.882666279030731, 2.0557565164498346, 1.934479440452712, 1.975796843159054, 2.2439192881804857]","[1.882666279030731, 2.0557565164498346, 1.9344794404527124, 1.975796843159054, 2.2439192881804857]","[5, 5, 5, 5, 5]","[1.875431021012674, 2.0240557171092277, 1.9122350280384983, 1.9715738480631464, 2.234430027930135]","[0.03617629009028511, 0.1585039967030355, 0.11122206207106772, 0.02111497547953839, 0.047446301251753975]","[0.4299691054219934, 0.5983006510413408, 0.48650446353488863, 0.5272608422267975, 0.7390036811593993]","[1.87232143976814, 2.0506447209509897, 1.8500913135723156, 1.9323935607026523, 2.137470214790654]","[0.051724196312953885, 0.025558977494224977, 0.4219406344019841, 0.2170164122820084, 0.5322453669491573]"
D,500,6,1.0,SLearner1,DPExplainableBoostingRegressor,16.0,"[1.9245713908025497, 1.8775236262849895, 2.0223467816783582, 1.9383987994416714, 1.9053897227130387]","[1.8081521860929886, 1.899339250678246, 2.023051069862661, 2.077034720816363, 1.7140067946159283]","[1.9142019450150294, 1.833209612398046, 1.9989691842770734, 1.9332762984697378, 1.8756187296384688]","[1.9142019450150296, 1.833209612398046, 1.9989691842770738, 1.9332762984697378, 1.8756187296384688]","[5, 5, 5, 5, 5]","[1.9116095835681493, 1.82213110892631, 1.9931247849267522, 1.9319956732267545, 1.8681759813698262]","[0.01296180723440038, 0.05539251735867945, 0.029221996751606083, 0.006403126214916954, 0.03721374134321248]","[0.46519791229291474, 0.36799016968487597, 0.5487953506214601, 0.48526637123995686, 0.42169406235460116]","[1.8081521860929886, 1.8166772028279958, 1.9929487128806769, 1.8973366928830815, 1.7140067946159283]","[0, 0.08266204785025016, 0.030102356981984157, 0.17969802793328132, 0]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,128.0,"[1.1777857280192268, 1.0107365687732992, 1.0425687957309804, 1.2320867461826572, 1.3896223476334246]","[1.7147549197244425, 1.7953908505136371, 1.8070871790315985, 1.7904648070586715, 1.819450685582035]","[0.668878946626188, 0.5155163437180421, 0.5887652879271231, 0.6640175608400831, 0.7756916469053693]","[1.8018988845734896, 1.7782379135624424, 1.799513676440726, 1.8575577610778027, 1.8682786395397815]","[5, 5, 5, 5, 5]","[0.5416522512779283, 0.3917112874542279, 0.4753144109761588, 0.5220002645044396, 0.6222089717233554]","[0.6361334767412985, 0.6190252813190713, 0.5672543847548216, 0.7100864816782176, 0.7674133759100692]","[0.3226546716849884, 0.2836283944690655, 0.318937029877974, 0.3997060340606079, 0.41289925178721154]","[1.7147549197244425, 1.7739496793246436, 1.7976203007930078, 1.7904648070586715, 1.819450685582035]","[0, 0.021441171188993358, 0.00946687823859066, 0, 0]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,1.0,"[178.84624000019474, 389.57112925066826, 466.14053645293524, 208.16965790249384, 97.76112175785937]","[7.330818311280817, 9.94304173732581, 4.28495420603393, 1.8721927170993236, 6.792401284961583]","[38.731364047097564, 93.3693554468764, 92.19034506999978, 48.426037908414635, 19.8390043365476]","[2.2876483364734392, 5.068717592633771, 3.4749951158728014, 1.7923981815549466, 1.871522521364512]","[5, 4, 5, 5, 5]","[3.702645058823265, 0.0, 0.0, 8.49013290989484, 0.3584749812196577]","[175.14359494137148, 389.57112925066826, 466.14053645293524, 199.679524992599, 97.40264677663971]","[0.7680205004165562, 1.8360078282023822, 1.3331174998699327, -0.3075798012575016, 0.4168089177922776]","[1.026855842771595, 3.4439428777364247, 3.272505343332519, 1.7724495476688524, 0.6413028304652446]","[6.303962468509222, 6.4990988595893855, 1.0124488627014112, 0.09974316943047123, 6.1510984544963385]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,2.0,"[46.81464196674799, 98.05182603505818, 66.99102588958716, 65.57735257652328, 46.491428085970334]","[4.0012060905744455, 2.1593256033734924, 2.1056073448017285, 1.706867320955453, 1.6978002854490908]","[9.819732926461455, 21.039455467882895, 14.466323879066472, 14.03981693388163, 11.18142241969851]","[2.1313155006210343, 3.379822867209875, 1.7762506107371758, 1.715244577732705, 2.857829958601133]","[5, 5, 5, 5, 5]","[0.5710056663898229, 1.7863628260890891, 1.335148376436294, 1.1554330232212209, 2.3539210031305586]","[46.24363630035817, 96.2654632089691, 65.65587751315087, 64.42191955330206, 44.137507082839775]","[0.6584243716689803, 1.2969310003992245, 0.2801031298001392, 0.13210499732925354, 1.0770501897255258]","[1.6638428531326817, 2.1593256033734924, 1.6939114272210376, 1.706867320955453, 1.6978002854490908]","[2.337363237441764, 0, 0.41169591758069085, 0, 0]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,4.0,"[17.313290175012344, 23.099119593193624, 18.917720685372657, 23.58918550293537, 16.2982218583897]","[2.0921616751084, 3.2160701141624575, 3.9704902921625522, 1.7003918374762435, 1.93002896858825]","[4.455374520537134, 5.212144413698284, 3.9505068959737337, 6.3092345590142225, 3.6332023559942215]","[1.7149474407221825, 1.9653031420188787, 2.289995354262774, 2.7837531224038545, 2.2443166888174906]","[5, 5, 5, 5, 5]","[1.2408956069183326, 0.7404006188244487, 0.20870344862400358, 1.989246823033934, 0.4669474803953513]","[16.072394568094012, 22.358718974369175, 18.709017236748654, 21.599938679901435, 15.831274377994347]","[0.13097554469762626, 0.5172139737144928, 0.7695469490872092, 1.0420941776012915, 0.7392725082161162]","[1.6206438821256282, 1.652611398982984, 1.8698716197878293, 1.7003918374762435, 1.93002896858825]","[0.4715177929827716, 1.5634587151794734, 2.100618672374723, 0, 0]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,8.0,"[7.835072657371844, 9.580472270967586, 11.113603571106674, 9.663053123298646, 9.784197181018909]","[1.7022699350949113, 1.773483916425639, 3.6756295073659695, 1.69955602853497, 2.5184601169988663]","[2.0653393194265544, 1.8285799798738498, 3.5200564235083673, 2.7946703258203884, 2.53381766139291]","[1.8305503411745734, 1.7483678972022212, 2.442437582824324, 2.1015394246309005, 2.1664206883666757]","[5, 5, 5, 5, 5]","[0.6229059849402319, 0.0, 1.6216696366087913, 1.077574626450824, 0.7212227814864107]","[7.2121666724316125, 9.580472270967586, 9.491933934497883, 8.585478496847822, 9.062974399532498]","[0.36435901767519285, 0.22488897213709455, 0.8629280012903631, 0.6354105579997533, 0.6845639787144319]","[1.7022699350949113, 1.7420888923963667, 2.1341396016889123, 1.69955602853497, 2.078410831208628]","[0, 0.031395024029272356, 1.541489905677057, 0, 0.4400492857902383]"
D,500,6,1.0,DRLearner,DPExplainableBoostingRegressor,16.0,"[3.2557677001920298, 4.467943301878954, 5.511649049672779, 6.118062545307689, 4.703406345941648]","[1.7948555248909444, 2.023560435905964, 1.7100176977576862, 2.203767586750129, 2.0442466005625866]","[1.1362696289312613, 1.1981514614820683, 1.614173947783292, 1.8233244202574441, 1.5374905909193022]","[1.9007303409085667, 1.848167550298503, 1.8677362782004308, 2.063208656673655, 2.0563785275014843]","[5, 5, 5, 5, 5]","[0.6063951111160693, 0.3807035013828468, 0.6398051723109202, 0.7496398889948832, 0.7460116521637152]","[2.6493725890759605, 4.087239800496107, 4.871843877361859, 5.368422656312806, 3.9573946937779327]","[0.45048584161461147, 0.3877817722445974, 0.412241956606904, 0.6044963269204473, 0.5988202402124877]","[1.7948555248909444, 1.804319328896638, 1.7100176977576862, 2.028068924154536, 2.0442466005625866]","[0, 0.21924110700932614, 0, 0.17569866259559253, 0]"
