dataset,data_size,d,sigma,learner,model,epsilon,MSE,MSE_ATE,MSEavg,MSEavg_ATE,num_effective_avg,iBias2,iVar,bias_ATE,iBias2_ATE,iVar_ATE
Voting,8000,11,,SLearner1,Lasso,,"[0.017820506692166733, 0.019142511321895275, 0.018059532635469694, 0.017951887063784634, 0.018126941063238734]","[0.018410815479691433, 0.0182816018193154, 0.019439208608001433, 0.01862903306259289, 0.01798931490129942]","[0.017746546440537317, 0.01882658717591613, 0.0178984007850634, 0.017867419998691673, 0.018055601201790207]","[0.01774654644053732, 0.01882658717591613, 0.017898400785063395, 0.01786741999869168, 0.0180556012017902]","[5, 5, 5, 5, 5]","[0.01772805637762996, 0.018747606139421346, 0.017858117822461828, 0.017846303232418433, 0.018037766236428075]","[9.245031453677076e-05, 0.00039490518247393015, 0.00020141481300786548, 0.00010558383136620008, 8.917482681065902e-05]","[0.0407003123651231, 0.05231210339871076, 0.04252493117154538, 0.042159091365599366, 0.04433475146960314]","[0.017580479180748794, 0.0182816018193154, 0.017513198829328884, 0.017677016732716377, 0.01798931490129942]","[0.0008303362989426407, 0, 0.0019260097786725485, 0.0009520163298765106, 0]"
Voting,8000,11,,DRLearner,Lasso,,"[0.0017510699930144012, 0.003359384914240811, 0.0035619415930264204, 0.003000906868663308, 0.002198870057021581]","[0.016292291614688755, 0.016149296132936374, 0.016254770951775372, 0.01623705936314873, 0.016209422354273573]","[0.000919448363198987, 0.0021224019174564688, 0.002411882901322435, 0.0017830141752345635, 0.0015517210636716932]","[0.016108284622893057, 0.016220312811940515, 0.0161208083862387, 0.01609407480799934, 0.016099154240788678]","[5, 5, 5, 5, 5]","[0.0007115429557451333, 0.0018131561682603833, 0.0021243682283964387, 0.0014785410018773773, 0.0013899338153342212]","[0.001039527037269268, 0.0015462287459804278, 0.001437573364629982, 0.001522365866785931, 0.0008089362416873597]","[0.004272424250274576, 0.011414105222127158, 0.005547735783180019, 0.002010918715566634, -0.00302046798856645]","[0.01606228287494413, 0.016149296132936374, 0.016087317744854533, 0.016058328669211995, 0.016071587212417453]","[0.00023000873974462262, 0, 0.00016745320692083867, 0.00017873069393673814, 0.00013783514185611908]"
Voting,8000,11,,RLearner,Lasso,,"[0.00185386169031658, 0.0032394767904117034, 0.0033952010204752643, 0.002840164092236483, 0.002029422203333238]","[0.016392217049514064, 0.016108034728945824, 0.01622230814627862, 0.01618370888368884, 0.016266494546251297]","[0.0008798172216981223, 0.0019330262835694641, 0.0021942664275403784, 0.001645411303316897, 0.0013994466963284133]","[0.016110013277194375, 0.016171936833483603, 0.0161009893602545, 0.01609010161947197, 0.016112447686190034]","[5, 5, 5, 5, 5]","[0.0006363061045435079, 0.0016064136568589044, 0.0018940327793066569, 0.0013467231060870005, 0.001241952819577207]","[0.0012175555857730721, 0.001633063133552799, 0.0015011682411686074, 0.0014934409861494823, 0.0007874693837560311]","[0.004470152489082224, 0.00905018339951602, 0.0033103393082544452, 0.00026571705486308494, -0.004734624828992173]","[0.016039462334114452, 0.016108034728945824, 0.01607065966374847, 0.016066699803417753, 0.016073935971174718]","[0.00035275471539961134, 0, 0.0001516484825301494, 0.00011700908027108704, 0.00019255857507657903]"
Voting,4000,11,,SLearner1,Lasso,,"[0.017485728097270947, 0.019022687732776336, 0.018228345300634857, 0.01868198671478843, 0.01814772155543347]","[0.017047397565209673, 0.020328220414235633, 0.016783936365287352, 0.0238933505161322, 0.019178722593387872]","[0.017388493258822753, 0.0188775492571124, 0.01800552277217076, 0.018123181230432012, 0.018062698911038812]","[0.017388493258822753, 0.0188775492571124, 0.01800552277217076, 0.01812318123043201, 0.018062698911038812]","[5, 5, 5, 5, 5]","[0.017364184549210702, 0.018841264638196416, 0.01794981714005474, 0.017983479859342906, 0.01804144324994015]","[0.00012154354806024302, 0.00018142309457991855, 0.0002785281605801205, 0.0006985068554455232, 0.00010627830549332033]","[0.03603418161834718, 0.05279695297262599, 0.04376633133188158, 0.045090467024785696, 0.04441472612906765]","[0.017047397565209673, 0.018514881467831593, 0.016783936365287352, 0.01668063890900696, 0.017783692990451547]","[0, 0.0018133389464040396, 0, 0.007212711607125239, 0.0013950296029363249]"
Voting,4000,11,,DRLearner,Lasso,,"[0.0028812741982112543, 0.0037023890682618263, 0.0069187414931154425, 0.0038583844968401023, 0.004374676882079159]","[0.016107485581249324, 0.01630507249788165, 0.016368068475858647, 0.016490804708210953, 0.017372556275592994]","[0.0010676290003481495, 0.0016745921479977483, 0.00303196868926593, 0.0022360634402917847, 0.0017810830261509162]","[0.016106610171526852, 0.01618997985878405, 0.01611279246296008, 0.016133318891596964, 0.01614425328580798]","[5, 5, 5, 5, 5]","[0.0006142177008823732, 0.0011676429179317289, 0.0020602754883035515, 0.0018304831761547053, 0.0011326845621688554]","[0.002267056497328881, 0.0025347461503300974, 0.004858466004811891, 0.002027901320685397, 0.0032419923199103035]","[0.004071751172177451, 0.009997441916076683, 0.004770896041767836, -0.006579352375290337, -0.007363577383938863]","[0.016106391319096233, 0.016161206699009653, 0.01604897345973544, 0.016043947437443466, 0.015837177538361724]","[1.0942621530901295e-06, 0.00014386579887199803, 0.00031909501612320795, 0.0004468572707674867, 0.0015353787372312687]"
Voting,4000,11,,RLearner,Lasso,,"[0.0031106486606966737, 0.0034763655083894464, 0.006582758112365249, 0.0036006914804636784, 0.004255410991388044]","[0.016096344835315607, 0.016360948002435406, 0.01618719332887871, 0.016741470091900957, 0.01777217435381119]","[0.0012021905194164297, 0.001458248035106695, 0.0028940620299478374, 0.0020925795276134974, 0.0015912862750248008]","[0.016116199266849224, 0.016203130483414343, 0.0161342468138393, 0.016125175544384657, 0.01613590389835609]","[5, 5, 5, 5, 5]","[0.0007250759840963686, 0.0009537186667860072, 0.001971888009343484, 0.0017155515394009521, 0.0009252550959339897]","[0.002385572676600305, 0.002522646841603439, 0.004610870103021765, 0.0018851399410627263, 0.0033301558954540542]","[0.0051154914651966865, 0.010634823435093727, 0.006649496215546891, -0.005928282252552847, -0.006772952416588013]","[0.016096344835315607, 0.016163676103659076, 0.016121010185079446, 0.015971101907505583, 0.015726836284492316]","[0, 0.00019727189877632913, 6.618314379926507e-05, 0.0007703681843953744, 0.0020453380693188743]"
Voting,16000,11,,SLearner1,Lasso,,"[0.01821993387618478, 0.018401981369556213, 0.018136968194884782, 0.018232596959355786, 0.018257714256761655]","[0.01807066290332604, 0.017667663304709313, 0.019078157135465346, 0.01829438620034549, 0.017860080935883666]","[0.0181162883048777, 0.018371473304305535, 0.018096556508193314, 0.018164966364896746, 0.018119206486111455]","[0.0181162883048777, 0.01837147330430553, 0.018096556508193307, 0.01816496636489675, 0.018119206486111455]","[5, 5, 5, 5, 5]","[0.01809037691205093, 0.018363846287992865, 0.018086453586520446, 0.018148058716281987, 0.018084579543448907]","[0.00012955696413385117, 3.8135081563347994e-05, 5.051460836433524e-05, 8.453824307380012e-05, 0.00017313471331274928]","[0.04501396773179382, 0.04776444588171003, 0.04479425738054582, 0.04555145827498856, 0.04504637024436853]","[0.01807066290332604, 0.017667663304709313, 0.017851156351375297, 0.018132611406034563, 0.017860080935883666]","[0, 0, 0.0012270007840900488, 0.00016177479431092514, 0]"
Voting,16000,11,,DRLearner,Lasso,,"[0.0017789970224437338, 0.0019281673270565385, 0.001832522661848871, 0.0022844705351352007, 0.0023596672086909844]","[0.01609254696081775, 0.016318029792150884, 0.016461680870694165, 0.016256152527990148, 0.016095844809892238]","[0.0010224369206446673, 0.0012660789623317827, 0.001230880326655872, 0.0016726395276388337, 0.001583771061455136]","[0.01610760512651342, 0.016117130903641492, 0.01609003192483956, 0.01610403972193456, 0.01609093279790602]","[5, 5, 5, 5, 5]","[0.0008332968951949007, 0.0011005568711505939, 0.0010804697428576223, 0.001519681775764742, 0.001389797024646174]","[0.0009457001272488331, 0.0008276104559059446, 0.0007520529189912486, 0.0007647887593704587, 0.0009698701840448105]","[0.0041921489232483455, 0.0052057554420822105, -3.0181465083184422e-05, 0.0037428208634449345, 0.0009496230764342306]","[0.01609254696081775, 0.016066906181514143, 0.01599711968837591, 0.016066011520420663, 0.016089704794909468]","[0, 0.0002511236106367406, 0.00046456118231825647, 0.0001901410075694828, 6.140014982771065e-06]"
Voting,16000,11,,RLearner,Lasso,,"[0.0015938009987216167, 0.0018895867121122597, 0.001836313692385422, 0.0023976537901682993, 0.002224799444538205]","[0.016090111579291487, 0.01648543744073415, 0.016404153181909794, 0.016207409318108306, 0.016098690115558104]","[0.0009310181612877537, 0.0012062648517164514, 0.0012199434993801913, 0.0017057633576480489, 0.0014940135264715213]","[0.016097882538334687, 0.016098023626265334, 0.016090892027409962, 0.01609741922101407, 0.01609008692718853]","[5, 5, 5, 5, 5]","[0.000765322451929288, 0.0010354343866174993, 0.0010658509511288837, 0.0015327907495179863, 0.0013113170469548504]","[0.0008284785467923288, 0.0008541523254947604, 0.0007704627412565383, 0.000864863040650313, 0.0009134823975833544]","[0.00280205717571258, 0.0028271208581535368, -0.0009279081265055611, 0.0027181256584908053, -0.0002364598693312958]","[0.016090111579291487, 0.01600117017264813, 0.016012576738785006, 0.01606992169674051, 0.01608793613009614]","[0, 0.0004842672680860187, 0.0003915764431247897, 0.00013748762136779526, 1.0753985461966e-05]"
Voting,1000,11,,SLearner1,Lasso,,"[0.017073955208066552, 0.020367523102963463, 0.019170849132521376, 0.01829401890902796, 0.018855872008176466]","[0.016093938808062383, 0.01728056161183422, 0.017683719294298617, 0.016091699012757855, 0.01814002253010108]","[0.016885766004426143, 0.02010413178147035, 0.018925112722692546, 0.01751397929503217, 0.01812398711095477]","[0.01688576600442614, 0.020104131781470354, 0.018925112722692546, 0.01751397929503217, 0.01812398711095477]","[5, 5, 5, 5, 5]","[0.01683871870351604, 0.020038283951097073, 0.018863678620235337, 0.017318969391533226, 0.01794101588664935]","[0.00023523650455051053, 0.0003292391518663895, 0.0003071705122860381, 0.000975049517494735, 0.0009148561215271186]","[0.028208775062157798, 0.06335693148781457, 0.053245485337010734, 0.03773523924812783, 0.04509940240220531]","[0.016093938808062383, 0.01728056161183422, 0.017683719294298617, 0.016091699012757855, 0.018119978256168193]","[0, 0, 0, 0, 2.0044273932886235e-05]"
Voting,1000,11,,DRLearner,Lasso,,"[0.017798680342340837, 0.011565136308828397, 0.017735117560401786, 0.0173431791984103, 0.013737738470753979]","[0.01613190708736638, 0.016096364985395087, 0.016370228475772346, 0.016408242803589827, 0.0173246355692057]","[0.0027098138858591115, 0.0032334209398485908, 0.007109343335960808, 0.006734441963376366, 0.0019387526411683913]","[0.01638083409782377, 0.017088116771434122, 0.016691637392809065, 0.016134497821439078, 0.016415755886254827]","[5, 5, 5, 5, 5]","[0.0, 0.0011504920976036382, 0.004452899779850564, 0.004082257654617883, 0.0]","[0.017798680342340837, 0.010414644211224759, 0.013282217780551222, 0.013260921543792416, 0.013737738470753979]","[-0.01705294941952981, 0.03159249527206423, 0.024527665581753594, -0.006668343686430184, -0.01804784952109545]","[0.01613190708736638, 0.016096364985395087, 0.016370228475772346, 0.01606606157590139, 0.016188535965517108]","[0, 0, 0, 0.00034218122768843624, 0.0011360996036885928]"
Voting,1000,11,,RLearner,Lasso,,"[0.012102635193211066, 0.011728686755608146, 0.01666275659632654, 0.01524370168032611, 0.012281488848549587]","[0.016306268828882114, 0.01627092255879325, 0.016100408810954602, 0.01628113759248613, 0.01647046193458003]","[0.002461789378905002, 0.003537676114510317, 0.006862373045833273, 0.005675460161872884, 0.0013099318630043814]","[0.01610239001491398, 0.017539533621106808, 0.016790532947760933, 0.016099961486595305, 0.016325864462634444]","[5, 5, 5, 5, 5]","[5.1577925328486277e-05, 0.0014899234542358596, 0.004412277158209955, 0.003283399782259576, 0.0]","[0.01205105726788258, 0.010238763301372286, 0.012250479438116586, 0.011960301898066534, 0.012281488848549587]","[-0.0035155370848927725, 0.03807233388154818, 0.026466997068844172, -0.003151265250114915, -0.015356869756422309]","[0.016051420311421948, 0.01627092255879325, 0.016100408810954602, 0.016054667460122598, 0.016289715094648046]","[0.00025484851746016696, 0, 0, 0.0002264701323635319, 0.0001807468399319832]"
Voting,2000,11,,SLearner1,Lasso,,"[0.017764811977114017, 0.01912555975871876, 0.018237096715647962, 0.0178319712186995, 0.01814403752981209]","[0.01685403188275076, 0.017769050646736076, 0.01949643767223259, 0.0180462578931979, 0.018157845287349313]","[0.01698322778947025, 0.01874791475296788, 0.017848293549836063, 0.01756361153482896, 0.017808944795573295]","[0.016983227789470253, 0.018747914752967876, 0.01784829354983606, 0.01756361153482896, 0.017808944795573295]","[5, 5, 5, 5, 5]","[0.01678783174255931, 0.01865350350153016, 0.01775109275838309, 0.017496521613861324, 0.017725171612013597]","[0.0009769802345547087, 0.0004720562571885979, 0.00048600395726487375, 0.0003354496048381785, 0.00041886591779849176]","[0.02988639783499386, 0.051554667480735006, 0.04193164122613538, 0.038387244247409, 0.04145978511346346]","[0.01685403188275076, 0.017769050646736076, 0.017436257519236928, 0.01744294994523672, 0.01772171967262929]","[0, 0, 0.002060180152995664, 0.0006033079479611774, 0.00043612561472002303]"
Voting,2000,11,,DRLearner,Lasso,,"[0.007417889918101073, 0.007095650723572877, 0.01274218269780405, 0.008089701811216604, 0.008257584649050494]","[0.016286056415649976, 0.016949136442330797, 0.018598611850327497, 0.016090193148632043, 0.01674845656650364]","[0.0015628040513079584, 0.002057169448050585, 0.005451140743364248, 0.0031107601864947573, 0.002408548503890607]","[0.016090175503565587, 0.016213932798237223, 0.016400551869366654, 0.016106221874808636, 0.016090132192325128]","[5, 5, 5, 5, 5]","[9.903258460968074e-05, 0.0007975491291700131, 0.003628380254754298, 0.0018660247803142967, 0.0009462894676006356]","[0.007318857333491392, 0.006298101594402864, 0.009113802443049752, 0.006223677030902307, 0.007311295181449858]","[0.0003801179380990283, 0.011131117837777954, 0.017621601954644517, -0.004023786884256392, -0.00031808553316259314]","[0.01604120527554449, 0.01603013188721383, 0.015851036874126444, 0.016090193148632043, 0.0159255510987805]","[0.00024485114010548703, 0.0009190045551169673, 0.002747574976201053, 0, 0.0008229054677231411]"
Voting,2000,11,,RLearner,Lasso,,"[0.007854217863134226, 0.00706006673480397, 0.011732818374122097, 0.007386727331352616, 0.007617551796328748]","[0.016339277480802435, 0.01717898316902676, 0.018362245329626495, 0.01617386077489998, 0.016628602875950336]","[0.0016657176616546947, 0.0020624431330085635, 0.0050312804670383056, 0.002594860251036757, 0.002309997974455182]","[0.016110783585950587, 0.016312851365305633, 0.016479263946562954, 0.016169296559141365, 0.01612845430885378]","[5, 5, 5, 5, 5]","[0.00011859261128481253, 0.0008130372325597119, 0.003355895990267357, 0.0013968934809577916, 0.0009831095189867913]","[0.007735625251849413, 0.006247029502244258, 0.00837692238385474, 0.005989833850394825, 0.006634442277341957]","[0.004555499097998211, 0.014927168230676191, 0.019728987116530622, -0.008903119971259393, 0.006198652670948213]","[0.016053660112237626, 0.016096318414375352, 0.016008518600797068, 0.01616815550520171, 0.01600341716707964]","[0.0002856173685648108, 0.0010826647546514087, 0.002353726728829427, 5.705269698268005e-06, 0.0006251857088706951]"
Voting,500,11,,SLearner1,Lasso,,"[0.017304435735907998, 0.020889147638120116, 0.018131761184158653, 0.019952017751575537, 0.02181411483681561]","[0.018103097631967706, 0.02236006823083863, 0.01745927287448049, 0.018119710213070295, 0.037017299507227104]","[0.01609057903944468, 0.0207172973601118, 0.017383917312938275, 0.017257201781423395, 0.016849563337891095]","[0.01609057903944468, 0.020717297360111797, 0.01738391731293827, 0.017257201781423398, 0.016849563337891095]","[5, 5, 5, 5, 5]","[0.01578711486532885, 0.020674334790609723, 0.01719695634513318, 0.01658349778888536, 0.015608425463159967]","[0.001517320870579146, 0.00021481284751039432, 0.0009348048390254732, 0.003368519962690178, 0.006205689373655642]","[-0.0007402874617039867, 0.06802401301153198, 0.03597063106229231, 0.03416388103691781, 0.02755961400260118]","[0.015587449391313925, 0.020306604642430087, 0.017365078422552718, 0.017041574673511674, 0.011807629295557093]","[0.0025156482406537813, 0.002053463588408541, 9.419445192777268e-05, 0.001078135539558621, 0.02520967021167001]"
Voting,500,11,,DRLearner,Lasso,,"[0.04049092765982818, 0.03622028660997617, 0.06138747254227202, 0.04800429856639256, 0.03689197034107535]","[0.030917484571291114, 0.02093961337031817, 0.022552148621467396, 0.018354512788795796, 0.0204505066966162]","[0.009129205547682562, 0.005224897289417724, 0.0108473668242246, 0.01374954326978284, 0.00913255101578132]","[0.01656356061282771, 0.01765466968486512, 0.016121783882417053, 0.01609912903618628, 0.0171691250227775]","[5, 5, 5, 5, 5]","[0.0012887750196461586, 0.0, 0.0, 0.005185854445630411, 0.002192696184457811]","[0.03920215264018202, 0.03622028660997617, 0.06138747254227202, 0.04281844412076215, 0.03469927415661754]","[-0.021760735256626473, 0.03955551378690955, -0.005634968367110055, -0.0030162928020265323, -0.03284956634202005]","[0.012975079623211858, 0.016833433763501857, 0.014514192697654468, 0.0155352830980339, 0.016348779604317826]","[0.017942404948079256, 0.004106179606816313, 0.008037955923812928, 0.002819229690761895, 0.004101727092298375]"
Voting,500,11,,RLearner,Lasso,,"[0.03782609000393818, 0.028092201541490856, 0.036349748974396925, 0.037880943465898875, 0.035872684780788804]","[0.0321673253125389, 0.022213611600705507, 0.025187726457660802, 0.017042370746083852, 0.022202446999113928]","[0.007604054958103659, 0.006621211311494167, 0.010002875933182295, 0.010340133918064874, 0.010487866239426501]","[0.016277090884344175, 0.019272299884320065, 0.01609932860840348, 0.016212604942012158, 0.017244518054196464]","[5, 5, 5, 5, 5]","[4.854619664502319e-05, 0.0012534637539949947, 0.0034161576728786378, 0.0034549315311063755, 0.004141661604085925]","[0.03777754380729316, 0.02683873778749586, 0.03293359130151829, 0.0344260119347925, 0.03173102317670288]","[-0.013676983235547696, 0.056411602267630534, 0.003049195711126884, -0.011071311037697262, -0.03397774330760861]","[0.012304532277295492, 0.018536971955223705, 0.01382722914608915, 0.016005163490994234, 0.016005035817967098]","[0.01986279303524341, 0.003676639645481803, 0.011360497311571653, 0.0010372072550896179, 0.00619741118114683]"
E,8000,6,1.0,SLearner1,Lasso,,"[10.156940148099409, 10.157785860475165, 10.149504301954511, 10.162222198546774, 10.16118157082406]","[10.218426428016986, 10.152478404025823, 10.141016203220333, 10.179439162200818, 10.155597456532691]","[10.151089635260016, 10.14145584393046, 10.140170227952158, 10.158613405790891, 10.159696026104294]","[10.151089635260016, 10.14145584393046, 10.140170227952158, 10.158613405790891, 10.159696026104294]","[5, 5, 5, 5, 5]","[10.149627007050167, 10.137373339794284, 10.13783670945157, 10.15771120760192, 10.159324639924353]","[0.007313141049241079, 0.020412520680881396, 0.011667592502941915, 0.004510990944852633, 0.0018569308997062883]","[-0.17926244618138698, -0.15000411088158572, -0.14565581795133564, -0.19914516098014667, -0.20184502831432694]","[10.134255437070774, 10.13870020390662, 10.139958734135114, 10.15340696668841, 10.155597456532691]","[0.08417099094621294, 0.013778200119203277, 0.0010574690852194202, 0.026032195512408762, 0]"
E,8000,6,1.0,DRLearner,Lasso,,"[0.39129215751066826, 0.3804048194980204, 0.48303035547403605, 0.33251092983623365, 0.46733664845370265]","[10.134874041028732, 10.130566149659467, 10.168572250134376, 10.118960179147518, 10.183412995928865]","[0.177220742594331, 0.15467168777032989, 0.27575240290973946, 0.17238219652310102, 0.2610989760500659]","[10.12271642286257, 10.1199044474625, 10.155481762099928, 10.12393880474409, 10.142860448055538]","[5, 5, 5, 5, 5]","[0.12370288886524666, 0.09823840483840723, 0.22393291476866528, 0.13235001319481787, 0.20953955794915669]","[0.2675892686454216, 0.2821664146596132, 0.2590974407053708, 0.20016091664141578, 0.25779709050454597]","[0.06133361405857851, 0.03081942266521942, 0.19112077713018527, 0.07059882502568549, 0.15461512670645838]","[10.11967701832103, 10.11723902191326, 10.152209140091315, 10.118960179147518, 10.132722311087207]","[0.015197022707702512, 0.013327127746207701, 0.01636311004306057, 0, 0.05069068484165884]"
E,8000,6,1.0,RLearner,Lasso,,"[0.29878610219408996, 0.2420409403734031, 0.2417875785830207, 0.23855811159875853, 0.24838768661320929]","[10.119258783208968, 10.142103314777854, 10.119446863001661, 10.128082510327582, 10.119057823194053]","[0.21986373887675953, 0.15479402200943032, 0.1646799653592854, 0.15620372206076497, 0.16218136742476727]","[10.11926159124492, 10.11949541160419, 10.11898231807235, 10.118985443336692, 10.119709166935614]","[5, 5, 5, 5, 5]","[0.20013314804742693, 0.13298229241843712, 0.14540306205335157, 0.13561512467626657, 0.14062978762765677]","[0.09865295414666304, 0.10905864795496598, 0.09638451652966912, 0.10294298692249196, 0.10775789898555252]","[-0.017520861732148063, -0.02325512750146741, 0.0052637841202365365, -0.0055527189384054765, -0.027469187948101048]","[10.119258783208968, 10.113843435810773, 10.118866181840023, 10.11671117658897, 10.119057823194053]","[0, 0.02825987896708071, 0.0005806811616393404, 0.011371333738612321, 0]"
E,4000,6,1.0,SLearner1,Lasso,,"[10.155891788356389, 10.13897667378482, 10.141941681275192, 10.156406217295345, 10.140010874424242]","[10.132115210611946, 10.14839138248916, 10.12077404998346, 10.15250194097484, 10.12809497343193]","[10.151592252471243, 10.136592352351872, 10.13636749852692, 10.154781880430502, 10.138348431659328]","[10.151592252471243, 10.136592352351872, 10.13636749852692, 10.154781880430502, 10.138348431659328]","[5, 5, 5, 5, 5]","[10.150517368499957, 10.135996271993635, 10.13497395283985, 10.15437579621429, 10.1379328209681]","[0.0053744198564320556, 0.002980401791183862, 0.006967728435340881, 0.0020304210810540013, 0.002078053456142648]","[-0.18065891016543034, -0.1328071598325522, -0.13195790191509804, -0.18928092820307718, -0.13926169972481794]","[10.132115210611946, 10.13364259481755, 10.12077404998346, 10.15250194097484, 10.12809497343193]","[0, 0.014748787671610142, 0, 0, 0]"
E,4000,6,1.0,DRLearner,Lasso,,"[0.36966767504121484, 0.43605758937196754, 0.710348535420951, 0.38559914859642247, 0.7611799723780612]","[10.161112499650349, 10.139063255892824, 10.182377533903411, 10.206774980650254, 10.119051388333014]","[0.19586510850845754, 0.30888908109061197, 0.3768793882680749, 0.1824577130549441, 0.23013686889337823]","[10.12728503862758, 10.119613555088993, 10.143268201720426, 10.120201971890829, 10.1331731589389]","[5, 5, 5, 5, 5]","[0.15241446687526822, 0.27709695402027307, 0.29351210147985585, 0.1316723541695745, 0.09737609302220751]","[0.21725320816594662, 0.15896063535169447, 0.41683643394109515, 0.25392679442684796, 0.6638038793558537]","[0.09127117824646369, -0.02566991312626765, 0.1559281599690734, -0.035318001666984955, 0.11924155437521922]","[10.118828173371888, 10.114751129888035, 10.13349086867468, 10.098558719700973, 10.119051388333014]","[0.042284326278461126, 0.024312126004788492, 0.048886665228731196, 0.10821626094928094, 0]"
E,4000,6,1.0,RLearner,Lasso,,"[0.3277970821459957, 0.336187345100879, 0.29184288690592647, 0.2758008336620603, 0.3722115432620342]","[10.211424393161781, 10.122719700164398, 10.125251653672152, 10.145779945054285, 10.12202326518363]","[0.24027879034006638, 0.2612627436969286, 0.14588156932323781, 0.2249474975728739, 0.19063785120944657]","[10.12230022616377, 10.119909996378269, 10.119126115853902, 10.12738106779965, 10.119820835999544]","[5, 5, 5, 5, 5]","[0.21839921738858406, 0.242531593345941, 0.10939123992756566, 0.2122341635505773, 0.14524442819629965]","[0.10939786475741162, 0.09365575175493801, 0.1824516469783608, 0.06356667011148301, 0.22696711506573455]","[0.05784129592846021, -0.03090931460235602, -0.013095999573144557, -0.09179573601515134, -0.029431706550279824]","[10.100019184414267, 10.119207570431737, 10.11759473139934, 10.122781348485992, 10.119270228703522]","[0.1114052087475148, 0.00351212973266124, 0.007656922272811784, 0.022998596568293284, 0.002753036480107607]"
E,16000,6,1.0,SLearner1,Lasso,,"[10.143922518213014, 10.150984830942603, 10.14817736369433, 10.161146556063777, 10.159501419321733]","[10.144540873027289, 10.138487802305896, 10.172204682297854, 10.209648438071628, 10.16235571829938]","[10.143173589002464, 10.150508064839869, 10.144535580006979, 10.157212950171116, 10.158643374660496]","[10.143173589002464, 10.150508064839869, 10.144535580006979, 10.157212950171115, 10.158643374660494]","[5, 5, 5, 5, 5]","[10.142986356699826, 10.150388873314185, 10.143625134085141, 10.15622954869795, 10.158428863495187]","[0.0009361615131875389, 0.000595957628417576, 0.004552229609189329, 0.004917007365825565, 0.0010725558265467505]","[-0.15562447864452533, -0.17763291978343432, -0.1599405181869038, -0.1955973913988478, -0.19922039055130014]","[10.142831767996258, 10.138487802305896, 10.137618304434259, 10.144104078195987, 10.157715288750772]","[0.0017091050310313882, 0, 0.03458637786359464, 0.06554435987564222, 0.004640429548607994]"
E,16000,6,1.0,DRLearner,Lasso,,"[0.4655795189817939, 0.3478735717218854, 0.324940085236336, 0.27504499024440804, 0.22966431048787964]","[10.136737402012791, 10.120304402251593, 10.119595073553752, 10.15259051040426, 10.164842665711813]","[0.2766725633981036, 0.18138740466035327, 0.2219898238793054, 0.1760675212229694, 0.1734246294358684]","[10.150923623241836, 10.12318113104823, 10.13841056268267, 10.118954612507068, 10.127053300814763]","[5, 5, 5, 5, 5]","[0.229445824502181, 0.13976586289497026, 0.19625225854004777, 0.15132315396760973, 0.15936470917286558]","[0.23613369447961288, 0.20810770882691512, 0.12868782669628823, 0.12372183627679831, 0.07029960131501406]","[0.1787988047855924, 0.06501169432606968, 0.13948459425179616, 4.310435061460893e-05, 0.08999272284846738]","[10.136737402012791, 10.120304402251593, 10.119595073553752, 10.11054563803277, 10.1176059595905]","[0, 0, 0, 0.04204487237148946, 0.04723670612131192]"
E,16000,6,1.0,RLearner,Lasso,,"[0.19191799412624547, 0.17931957378488636, 0.18017046419911542, 0.18586102218330597, 0.17233089088952355]","[10.129865598128411, 10.119961977476208, 10.1235218419745, 10.121186970708008, 10.132068019381293]","[0.1638327926810816, 0.15025755355901188, 0.15420989825985568, 0.15153507312736686, 0.14099493110599712]","[10.122131607986363, 10.118981491261518, 10.119140388689376, 10.121178771767049, 10.119057245011762]","[5, 5, 5, 5, 5]","[0.15681149231979064, 0.14299204850254327, 0.14771975677504073, 0.14295358586338208, 0.1331609411601155]","[0.03510650180645482, 0.0363275252823431, 0.03245070742407468, 0.042907436319923886, 0.03916994972940804]","[0.056364859063765316, 0.005184651621472192, 0.013630041830203332, -0.04716101269019468, -0.010130861892163168]","[10.12019811045085, 10.118736369707847, 10.118045025368094, 10.121176722031809, 10.115804551419378]","[0.009667487677560427, 0.0012256077683625577, 0.005476816606404533, 1.0248676198809648e-05, 0.01626346796191447]"
E,1000,6,1.0,SLearner1,Lasso,,"[10.190755149390878, 10.141801781562616, 10.141780167786239, 10.187720235135913, 10.19386460058526]","[10.2271391548844, 10.136701544771512, 10.124083526656074, 10.155864319962713, 10.159199598453492]","[10.174499055007761, 10.128279072872893, 10.12925853321357, 10.165805415355118, 10.16419017346014]","[10.174499055007761, 10.12827907287289, 10.12925853321357, 10.16580541535512, 10.16419017346014]","[5, 5, 5, 5, 5]","[10.170435031411982, 10.124898395700463, 10.126128124570402, 10.160326710409919, 10.15677156667886]","[0.02032011797889588, 0.016903385862154785, 0.01565204321583691, 0.027393524725993768, 0.037093033906399064]","[-0.23567868880889709, -0.09656325503942442, -0.10150823889953031, -0.21645046709590776, -0.21268653650632974]","[10.1613390300386, 10.126173454898236, 10.124083526656074, 10.155864319962713, 10.159199598453492]","[0.06580012484579845, 0.010528089873276247, 0, 0, 0]"
